,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8266,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H332M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
Class,BREAST,BREAST,BREAST,BREAST,BREAST,BREAST,BREAST,BREAST,CNS,CNS,CNS,CNS,CNS,CNS,COLON,COLON,COLON,COLON,COLON,COLON,COLON,LEUK,LEUK,LEUK,LEUK,LEUK,LEUK,MELAN,MELAN,MELAN,MELAN,MELAN,MELAN,MELAN,MELAN,NSCLC,NSCLC,NSCLC,NSCLC,NSCLC,NSCLC,NSCLC,NSCLC,NSCLC,OVAR,OVAR,OVAR,OVAR,OVAR,OVAR,PROSTATE,PROSTATE,RENAL,RENAL,RENAL,RENAL,RENAL,RENAL,RENAL,RENAL
V00594_s_at,0.713164384,0.607939186,-4.409487886,0.261889367,0.701443786,-1.793203774,-2.186459496,-2.153769582,0.240529626,0.837345552,0.306057536,0.160680163,0.041146372,-0.742076968,-3.647799862,-3.086372876,0.168158513,-1.326922656,0.224120324,-4.55951333,-1.561985815,-3.118767389,-1.997793829,-5.139543535,-2.351306815,-4.09589565,-2.191555112,0.552825008,-0.011104858,0.073896647,0.05761444,0.310119243,-2.16876525,-1.345615702,-0.878973169,-3.690444199,-1.057012989,0.791193803,-0.69835559,0.288666556,-1.361679527,-1.622633416,0.535293454,-2.735317418,-1.418794427,-1.168137307,0.536738509,0.350667336,0.042910141,0.011104858,-0.176479792,0.510405375,0.365814166,0.369711296,0.851194535,-0.563636496,0.564300998,0.314281894,0.255116687,0.936505923
AFFX-CreX-3_at,0.03212368,0.251617327,-0.01671156,-0.233932982,0.367702299,-0.242776984,-0.07590891,0.083389124,0.447592414,0.014185599,0.384916542,-0.605322214,-6.616773126,-0.116289725,-1.7243821,0.566217054,0.059889209,0.692566796,-6.616773126,0.260848441,-2.013888717,-6.616773126,-6.616773126,-6.616773126,0.763471464,-6.616773126,-0.014185599,-0.655844459,-0.322336172,0.018981265,-0.22617422,0.171259988,-0.56431376,0.190581796,0.76130493,0.056924621,0.15114646,-0.128290252,-0.219654717,0.639954509,-1.629907154,0.680234823,0.147169534,0.502583051,-6.616773126,0.199186492,0.158540849,-6.616773126,0.946918898,0.481048329,-0.020732493,-1.502406101,0.323980921,0.285541686,0.476512378,-0.586878576,-0.066026341,0.201617318,-0.254478588,-0.162432701
Z23090_at,0.104508324,1.104930596,0.917643668,0.487301907,-0.586914631,0.338438521,0.341547521,1.576681529,-3.494032584,0.681565626,0.493980564,0.38901506,-0.006962284,0.138180621,-0.98492676,-0.988526001,-0.151784504,0.629685264,0.013574647,-3.92852759,-1.178256716,-3.128434017,-3.05363951,-0.234484067,-4.287809099,0.006962284,-2.819802745,-0.095718442,-0.224900377,0.781277442,-0.647267818,-3.123149414,0.21295117,0.012074496,-0.167337496,-0.309028322,0.385311685,0.724517772,1.187525669,-2.27749883,-1.406369131,-0.387239193,-0.968248019,0.695464892,0.172697153,0.449895391,1.439888218,-1.379342649,0.395243028,-0.720195829,-1.149768159,-0.242340347,0.493120537,1.980665792,-0.010312078,0.076361444,0.81074079,-0.423724463,0.445900848,-0.074206845
AFFX-CreX-5_at,-0.067306537,0.141710288,-0.035363644,0.16352048,0.114976628,-0.297345372,0.03778107,0.085772793,0.439541298,-0.155758037,0.29417902,-0.521679266,-6.489539537,-0.181018475,-2.05591237,0.673153895,0.153595124,0.420713425,-6.489539537,0.136607526,-2.290259816,-6.489539537,-6.489539537,-6.489539537,0.98067192,-6.489539537,-0.194918789,-0.606896488,0.028838231,-0.013968216,-0.287905676,0.179487228,-0.29852969,-0.054244322,0.804345893,0.013968216,0.114680082,-0.160057106,-0.141696744,0.608913709,-2.037998704,0.78341677,0.207288927,0.638196906,-6.489539537,0.160363282,-0.017051766,-6.489539537,0.985950722,0.630957561,0.056891951,-1.805843083,0.375636959,0.097525361,0.260664972,-0.274443416,0.060283628,0.0925648,-0.251325896,-0.276775674
V00594_at,1.128011667,0.005964483,-5.36175603,0.997202796,0.762985662,-0.005964483,-0.169561865,-4.554401108,0.750318521,1.386034151,0.229504495,0.382135881,-0.490898166,-1.486959064,-5.36175603,-5.36175603,0.219293871,-2.083771283,0.628518153,-5.36175603,-1.320863599,-5.36175603,-3.294805786,-5.36175603,-3.912855079,-5.36175603,-3.881490908,1.494856243,0.812570485,-0.278542662,0.143499771,0.496224965,-5.36175603,-1.58249631,-1.145301165,-3.025472642,-1.014799141,1.435127203,-1.638197469,0.429797603,-2.28965023,-2.312125262,0.730789711,-0.046697064,-5.36175603,-1.866060867,0.433958976,1.131699171,1.046616173,0.696343958,0.642520626,0.687221195,0.553764871,-0.227945939,1.875023568,0.753443719,0.568744781,0.022984557,1.243797565,1.92327622
D86974_at,-0.373939244,0.075913026,1.042652046,-0.465207302,-0.463735914,-0.554787895,-0.398327329,0.017061491,-0.279664339,0.67597188,-0.607429374,-0.238824601,0.978345226,-0.037163385,1.047561374,-0.204628548,-0.87339113,0.944945481,-0.755286531,-0.940365793,0.515899773,0.666597175,0.639471675,0.421521999,1.194111503,0.460792117,-0.198497238,0.772144133,0.490697576,0.058610656,0.242461721,0.156575473,0.22751138,0.936891142,-0.230042952,-0.284202139,-0.414581229,-0.418139048,0.120736291,-1.197274096,1.151784053,0.503541764,-0.923075621,-0.159862091,2.003296222,-0.557139476,0.694869914,2.54770793,-0.151546823,1.019167615,-0.051458498,1.321815704,-1.08217312,-0.090664581,0.148901545,-0.017061491,-0.576091408,-0.883192085,-0.050906059,0.947712446
M60854_at,-0.295251456,-0.356766298,0.054650572,0.001557987,0.009318603,0.100782366,0.177522627,-0.746343085,-0.184653905,-0.22961532,-0.020989177,0.328612769,-0.304601735,-0.611693559,0.245137682,0.053337411,0.189355794,-0.056193243,-0.469274728,0.258711856,0.37380086,-0.253561016,0.238219848,-0.195763579,-0.270844602,-0.361762649,-0.228474038,0.164549441,-0.078640154,-0.386243499,0.1022345,0.42271046,-0.21078595,0.227946796,0.118291673,0.715699747,0.192085909,-0.226877758,0.068831341,0.075130521,0.189355794,-0.326657645,0.331246698,0.348327495,-0.038283834,1.346260871,0.036346564,0.065857478,-0.486633931,-0.001557987,0.26488417,-0.202694789,-0.261476419,-0.121640324,-0.449726079,-0.263345195,-0.2549547,0.371544651,0.011445474,-0.508630851
M17733_at,0.842993668,1.06749989,-1.554346401,-1.152701731,0.752094315,-5.423230674,-5.423230674,1.290465141,1.133505274,0.309038526,-0.708985156,0.830002265,-0.269020143,0.998834092,0.327643766,0.005715671,-1.936516301,-1.772466115,-0.246110171,-0.908477175,0.982761686,0.457454851,0.140842582,-0.222381099,0.582169314,-0.253706477,-0.280817236,-1.912268755,-5.423230674,-0.971689841,-3.727236861,-0.067439127,-5.42323067,0.51199332,-5.423230674,0.258218591,0.860505936,-0.400419023,1.096248328,0.179950555,-0.067086864,0.538392654,-0.963143434,1.246504789,0.578571569,-0.936516301,0.950069523,1.748796725,-1.123839468,0.68487555,-1.880972624,0.753291573,-0.689876333,-2.763306115,-0.005715671,0.59758263,0.078526912,-0.455139922,0.209619156,0.308495649
AFFX-HUMGAPDH/M33197_M_at,-0.434023933,-0.203573961,0.070583591,0.033808136,-1.409015364,0.550894331,0.036493648,-0.646492701,0.027843795,0.094712593,-0.569802459,-0.18312261,-0.397836664,0.470758482,0.232918736,0.245242421,-0.31261485,-0.64680041,0.19633282,0.545921601,0.190143938,0.357808352,-0.485105295,-0.408754408,0.124948187,-0.53179672,0.374582292,0.127469437,-0.182007268,0.317525671,-0.073993499,0.233587579,-0.41450637,-0.134629625,0.301666491,0.339594992,0.354122521,0.004520721,0.365609617,1.112911707,0.726161193,-0.742867168,0.188247583,-1.261769935,-1.643726267,0.17490284,-0.219505445,-0.44655875,-0.488410439,0.079911796,0.230072687,-0.34670168,-0.21402338,-0.342209632,-0.164939001,-0.316036456,0.020498869,-0.56951074,-0.168910939,-0.004520721
