,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,Carcinom,174,9182,mRmr,---,100,10-Fold-CV,11,reduce_time,1052.9607396125793,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
1,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,ACC,0.6781609195402298,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
2,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,MCC,0.6731572366907191,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
3,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,AUC,0.984509182190514,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
4,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,PR-AUC,0.9531277106668221,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
5,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,fit_time,0.11807894706726074,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
6,Carcinom,174,9182,mRmr,SVM,100,10-Fold-CV,11,pred_time,0.006705760955810547,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
7,Carcinom,174,9182,mRmr,KNN,100,10-Fold-CV,11,ACC,0.8103448275862069,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
8,Carcinom,174,9182,mRmr,KNN,100,10-Fold-CV,11,MCC,0.7901660244360207,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
9,Carcinom,174,9182,mRmr,KNN,100,10-Fold-CV,11,AUC,0.9587395957193816,929;3600;5414;527;7913;5951;8618;6386;2804;1607;1966;3603;630;5596;1727;2473;7332;8014;3853;5893;1606;3141;2444;1113;1932;5122;6027;1664;1265;4308;2276;5070;7869;5434;60;499;4272;6171;2673;1705;3891;7422;1944;4353;8252;8915;2492;5353;6211;1838;8441;4834;6702;2390;967;1835;3839;7840;5832;3125;1188;1327;8404;5195;6220;8302;4955;2187;1125;5043;4427;3347;4473;8738;4751;1346;2324;6644;8703;1055;5288;6384;6377;8957;1067;3501;2843;1888;4954;4974;1684;8958;7992;1653;1816;4571;2482;8251;2456;2163,3.2838213810149983;-0.022414566263736536;0.05435164524191305;0.5059897467484356;0.19907401945849457;0.28071993793737104;0.050865291431128834;0.32955589884985237;0.0521961847157128;0.20956473573545242;0.022754930419027097;0.10075856289599416;0.018842007536975514;0.05761026627910715;0.14984156243018765;0.028188432656491458;0.08809940444227737;0.07301431383906998;0.027268778250216036;0.058023799125131226;0.10515669319070797;0.019318638093534846;0.047598945117785174;0.023829253847171494;0.08576861093877541;0.0224061506592603;0.048377925257106824;0.04390150363583323;0.0746767239470647;0.02263888823921878;0.05272552127102692;0.02165924410727091;0.033894962757320624;0.05032388127959786;0.029177811728442138;0.02827027352227185;0.04329781682601519;0.02839837874408868;0.05378229242812882;0.018991264454128076;0.03229996438645666;0.06336488328820922;0.026184849072310723;0.03864022542574208;0.018743884583547865;0.02294546042624024;0.04430176015081555;0.01795248972744326;0.03463637389528307;0.017108269358342865;0.030173143184080042;0.05324858818158562;0.021781322204960707;0.05388161814902315;0.01857963966861631;0.03241026722079088;0.017493739741613695;0.0228119105778688;0.04985468384696112;0.0181128104960724;0.03422874505400131;0.016204006757677636;0.023457162645112217;0.0484560774446412;0.017651911297324574;0.030851351290472895;0.016643432338792896;0.022933029203552557;0.013614636064793711;0.0188454903789661;0.01349689540934973;0.03247178202713963;0.011719311410660196;0.022547815383767933;0.010665356726218697;0.020046761420555725;0.010001658628860557;0.012007517083769847;0.02951114733793636;0.011617351073224924;0.017388343459156186;0.015719531577104262;0.029345729155884737;0.010501252247961251;0.01553995889485682;0.010058302838125782;0.01059785692609104;0.03831593258973376;0.010174796574463296;0.01833317507149923;0.00977007951301593;0.010185704427404407;0.030437345958228335;0.009237162573878688;0.018431340014708475;0.007633624943694378;0.011536421689076981;0.025822473330459506;0.00838277003685571;0.0147482682022968
