,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,SRBCT,83,2308,mRmr,---,100,LOOCV,84,reduce_time,165.54970026016235,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
1,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,ACC,0.8433734939759037,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
2,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,MCC,0.7992030284040847,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
3,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,AUC,0.9950162094159772,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
4,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,PR-AUC,0.9857967292480732,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
5,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,fit_time,0.029341697692871094,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
6,SRBCT,83,2308,mRmr,SVM,100,LOOCV,84,pred_time,0.048079729080200195,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
7,SRBCT,83,2308,mRmr,KNN,100,LOOCV,84,ACC,0.8192771084337349,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
8,SRBCT,83,2308,mRmr,KNN,100,LOOCV,84,MCC,0.7596979145060118,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
9,SRBCT,83,2308,mRmr,KNN,100,LOOCV,84,AUC,0.961460299027435,gene1;gene484;gene608;gene2023;gene76;gene299;gene765;gene2076;gene767;gene857;gene1165;gene1196;gene1656;gene1741;gene2052;gene2291;gene89;gene90;gene103;gene143;gene95;gene118;gene213;gene147;gene324;gene172;gene185;gene379;gene428;gene193;gene211;gene474;gene243;gene483;gene277;gene340;gene550;gene224;gene693;gene358;gene707;gene387;gene404;gene435;gene463;gene465;gene478;gene480;gene526;gene534;gene561;gene566;gene579;gene618;gene635;gene657;gene714;gene715;gene731;gene733;gene737;gene743;gene744;gene745;gene771;gene780;gene784;gene828;gene832;gene841;gene868;gene891;gene908;gene946;gene959;gene985;gene1016;gene1037;gene1050;gene1090;gene1097;gene1137;gene1141;gene1153;gene1172;gene1176;gene1180;gene1194;gene1212;gene1220;gene1227;gene1230;gene1250;gene1251;gene1271;gene1303;gene1328;gene1330;gene1332;gene1346,1.9161207393705444;-4.410725920892039;-4.386629535349871;-4.370565278321759;-4.356509053422161;-4.35771387269927;-4.358517085550675;-4.359090809015965;-4.349348078268301;-4.350813086217124;-4.351985092576182;-4.352944006869957;-4.353743102114768;-4.354419259629609;-4.354998823213759;-4.355501111653354;-4.3800369995801685;-4.381842230245573;-4.383446879725931;-4.383614387916665;-4.383765145288326;-4.385048991745645;-4.386216124888663;-4.386234099256542;-4.387254591824687;-4.387229589565695;-4.388133294616709;-4.388970058552831;-4.388886468438439;-4.388808643159524;-4.389539219083941;-4.39022266107775;-4.390110375898755;-4.3907350893834;-4.390614337794178;-4.391188954454117;-4.391731647966281;-4.391593753030704;-4.390194884905303;-4.390103465685933;-4.390619027066086;-4.390521722390082;-4.391002774735366;-4.391461452552963;-4.39189928137885;-4.3923176511458095;-4.3927178309229005;-4.3931009817733075;-4.393468168004947;-4.393820367043459;-4.39415847812043;-4.39448332993948;-4.394795687457799;-4.3950962578999535;-4.39538569610351;-4.395664609281483;-4.3959335612745285;-4.396193076355536;-4.396443642640649;-4.396685715153383;-4.396919718582361;-4.397146049767765;-4.397365079947188;-4.397577156787582;-4.3977826062267145;-4.3979817341446426;-4.398174827883239;-4.398362157629638;-4.3985439776776145;-4.398720527579273;-4.398892033198026;-4.399058707672589;-4.399220752300637;-4.399378357349834;-4.399531702803107;-4.399680959044292;-4.399826287489656;-4.3999678411702074;-4.400105765269204;-4.40024019761886;-4.400371269159775;-4.400499104366346;-4.400623821641049;-4.400745533680218;-4.400864347813692;-4.400980366320497;-4.401093686722492;-4.4012044020577745;-4.401312601135437;-4.401418368773152;-4.401521786018918;-4.401622930358184;-4.401721875907464;-4.401818693595471;-4.4019134513326685;-4.402006214170136;-4.40209704444849;-4.402186001937599;-4.402273143967746;-4.402358525552842
