,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,Yale,165,1024,mRmr,---,100,10-Fold-CV,11,reduce_time,62.50794792175293,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
1,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,ACC,0.2787878787878788,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
2,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,MCC,0.3604151077316754,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
3,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,AUC,0.9220464384100747,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
4,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,PR-AUC,0.8094986820195521,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
5,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,fit_time,0.05963635444641113,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
6,Yale,165,1024,mRmr,SVM,100,10-Fold-CV,11,pred_time,0.003381967544555664,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
7,Yale,165,1024,mRmr,KNN,100,10-Fold-CV,11,ACC,0.5333333333333333,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
8,Yale,165,1024,mRmr,KNN,100,10-Fold-CV,11,MCC,0.5531434110391216,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
9,Yale,165,1024,mRmr,KNN,100,10-Fold-CV,11,AUC,0.8627548209366391,527;26;43;29;52;27;160;63;575;24;301;28;522;1016;59;490;919;25;979;23;951;31;41;22;99;30;1012;795;58;854;62;607;734;91;520;55;994;60;1021;738;21;798;57;98;86;126;1013;897;93;932;53;269;61;991;20;739;182;1018;947;95;912;94;129;646;56;594;92;404;1019;155;817;19;1023;90;852;946;767;54;678;1017;125;513;761;88;704;127;349;33;121;930;1015;996;124;882;661;89;988;732;995;122,3.4263802167288553;-1.10525489309906;-0.7642113887209492;-0.9635368112191256;-0.895204156746896;-0.9848646968551185;-0.7328055384226371;-0.9692908117894943;-0.906864426605452;-0.9792314151562596;-0.9013163874238526;-0.9688090999101067;-0.8846350604075086;-0.9988646938786827;-1.017615502815079;-0.9368990049190158;-1.0226589935075943;-1.0539727820931137;-1.0172805636113056;-1.0631455333161663;-1.0302965846403787;-1.0681820516133733;-1.0508047236971771;-1.0943489456472282;-1.069028126655251;-1.1054305147594707;-1.0710053101741783;-1.1061164060327133;-1.109918700028762;-1.095405842321349;-1.1176061464137783;-1.0986658238312579;-1.1358606724476745;-1.145319735074641;-1.1443373001541506;-1.1640409796323294;-1.1679051932880467;-1.1598822469084058;-1.139467106289473;-1.1458192292771399;-1.163273991639958;-1.1637280785405668;-1.1863340412376897;-1.1637014244465895;-1.1885669318386682;-1.1955770542676714;-1.1935403345611837;-1.205632567503553;-1.22454662877576;-1.2183780060676872;-1.2257208771280825;-1.2334416524242542;-1.2485007641682149;-1.231884824410395;-1.2421974315423392;-1.239923204256347;-1.2596405403302304;-1.2742485196730962;-1.271061707060869;-1.2872530334722398;-1.2848126226335426;-1.3010017860150964;-1.288912360865817;-1.3069642784598807;-1.3084667473970235;-1.3060389436034665;-1.3182441919043373;-1.310211353520046;-1.3235354572948994;-1.3214947409730877;-1.3229692594232203;-1.3346457676584955;-1.330918811427611;-1.3353189386161093;-1.3261051402372974;-1.339358299171474;-1.352365289343151;-1.3564154950831933;-1.3558175367443352;-1.3633086151287253;-1.3584626295357105;-1.3592277138695863;-1.372522645351041;-1.3769470504835883;-1.3764596458738367;-1.3864207222627112;-1.389078594792207;-1.3995689448645763;-1.3999415876223376;-1.4008370545484574;-1.407633599970481;-1.4122737183076168;-1.4137541771848712;-1.4097663934258762;-1.4178013379073207;-1.4203198624267674;-1.4176475968587576;-1.422129676327426;-1.429736845337282;-1.4302289600433769
