,Dataset Name,Number of samples,Original Number of features,Filtering Algorithm,Learning algorithm,Number of features selected (K),CV Method,Fold,Measure Type,Measure Value,List of Selected Features Names,Selected Features scores
0,khan_train,64,2308,mRmr,---,100,LOOCV,65,reduce_time,74.64259314537048,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
1,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,ACC,0.703125,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
2,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,MCC,0.648423513150086,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
3,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,AUC,0.98388671875,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
4,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,PR-AUC,0.9563351953709571,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
5,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,fit_time,0.012853384017944336,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
6,khan_train,64,2308,mRmr,SVM,100,LOOCV,65,pred_time,0.010423660278320312,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
7,khan_train,64,2308,mRmr,KNN,100,LOOCV,65,ACC,0.59375,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
8,khan_train,64,2308,mRmr,KNN,100,LOOCV,65,MCC,0.4730434173047438,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
9,khan_train,64,2308,mRmr,KNN,100,LOOCV,65,AUC,0.9181315104166666,1;765;1165;2023;2052;2291;123;1238;103;107;118;147;193;226;269;295;299;340;357;379;474;483;534;734;1148;1291;2031;2076;2269;76;324;358;404;428;435;463;465;478;484;526;550;561;579;608;618;657;707;715;733;737;743;745;747;771;784;790;819;828;832;841;857;868;876;907;908;946;985;1016;1037;1038;1050;1097;1098;1153;1172;1176;1180;1212;1227;1235;1251;1274;1294;1303;1330;1332;1346;1444;1383;1419;1429;1470;1501;1534;1535;1605;1606;1630;1677;1705,1.8859352988075138;-4.0515647011924925;-4.020314701192492;-4.009898034525824;-3.9968772011924916;-3.995314701192492;-4.025523034525825;-4.020314701192491;-4.0188403115398295;-4.019004132612348;-4.022260189470362;-4.0249242359905555;-4.027144274757383;-4.029022769098545;-4.030632907105255;-4.02994502671107;-4.031296256366159;-4.032488517826531;-4.033548305791306;-4.031207063444;-4.032224945331424;-4.031657790848617;-4.031142195864248;-4.030671435226345;-4.030239904641601;-4.029842896503636;-4.029476427453208;-4.029137104258366;-4.026589875577441;-4.025295904046927;-4.026171530618445;-4.025982600636962;-4.026782041279323;-4.027533030973661;-4.028239844803626;-4.02890626927188;-4.029535670158563;-4.030131049375696;-4.030695092844559;-4.031230211007326;-4.031738573261956;-4.032222137357822;-4.032682674591981;-4.033121791489667;-4.032830721255641;-4.033247031920904;-4.03364524212246;-4.034026507209056;-4.034391886250377;-4.034742351861441;-4.035078798848063;-4.035402051835208;-4.035712872015156;-4.036011963131709;-4.0362999767995005;-4.03657751724301;-4.036845145527821;-4.036555137732465;-4.036813923309362;-4.037063936493822;-4.037305615905466;-4.037539371401975;-4.037765586398596;-4.037488588220721;-4.037220246235905;-4.037440930158314;-4.037654926689135;-4.037862535263812;-4.038064037703939;-4.038259699493628;-4.03800334237504;-4.038194347428807;-4.038380046786636;-4.038560658490826;-4.038736388797606;-4.038907432962871;-4.039073975965891;-4.0392361931766265;-4.039394250971702;-4.03954830730361;-4.039698512227222;-4.039845008387286;-4.039606833909301;-4.039374398575363;-4.039519521225567;-4.039661229225178;-4.039799641689914;-4.039934872258909;-4.039356802133155;-4.039493969538316;-4.039628088778918;-4.039759260343903;-4.039547906440083;-4.039341097781507;-4.039471136115665;-4.039598436800684;-4.039723085388099;-4.039845163901546;-4.03996475101676;-4.039766265665
